"","Species","Ecoregion","mean_ProbEst"
"343"," ilexaqui"," eco14",0
"344"," ilexaqui"," eco16",0
"345"," ilexaqui"," eco17",0
"346"," ilexaqui"," eco18",0
"347"," ilexaqui"," eco19",0
"348"," ilexaqui"," eco2",0
"349"," ilexaqui"," eco20",0
"350"," ilexaqui"," eco21",0
"351"," ilexaqui"," eco22",0
"352"," ilexaqui"," eco23",0
"353"," ilexaqui"," eco24",0
"354"," ilexaqui"," eco25",0
"355"," ilexaqui"," eco26",0
"356"," ilexaqui"," eco27",0
"357"," ilexaqui"," eco28",0
"358"," ilexaqui"," eco29",0
"359"," ilexaqui"," eco3",0
"360"," ilexaqui"," eco30",0
"361"," ilexaqui"," eco4",0
"362"," ilexaqui"," eco6",0
"363"," ilexaqui"," eco7",0
"364"," ilexaqui"," eco8",0
"365"," larideci"," eco1",0
"366"," larideci"," eco10",0
"367"," larideci"," eco11",0
"368"," larideci"," eco12",0
"369"," larideci"," eco14",0
"370"," larideci"," eco16",0
"371"," larideci"," eco17",0
"372"," larideci"," eco18",0
"373"," larideci"," eco19",0
"374"," larideci"," eco2",0
"375"," larideci"," eco20",0
"376"," larideci"," eco21",0
"377"," larideci"," eco22",0
"378"," larideci"," eco23",0
"379"," larideci"," eco24",0
"380"," larideci"," eco25",0
"381"," larideci"," eco26",0
"382"," larideci"," eco27",0
"383"," larideci"," eco28",0
"384"," larideci"," eco29",0
"385"," larideci"," eco3",0
"386"," larideci"," eco30",0
"387"," larideci"," eco4",0
"388"," larideci"," eco6",0
"389"," larideci"," eco7",0
"390"," larideci"," eco8",0
"391"," malusylv"," eco1",0
"392"," malusylv"," eco10",0
"393"," malusylv"," eco11",0
"394"," malusylv"," eco12",0
"395"," malusylv"," eco14",0
"396"," malusylv"," eco16",0
"397"," malusylv"," eco17",0
"398"," malusylv"," eco18",0
"399"," malusylv"," eco19",0
"400"," malusylv"," eco2",0
"401"," malusylv"," eco20",0
"402"," malusylv"," eco21",0
"403"," malusylv"," eco22",0
"404"," malusylv"," eco23",0
"405"," malusylv"," eco24",0
"406"," malusylv"," eco25",0
"407"," malusylv"," eco26",0
"408"," malusylv"," eco27",0
"409"," malusylv"," eco28",0
"410"," malusylv"," eco29",0
"411"," malusylv"," eco3",0
"412"," malusylv"," eco30",0
"413"," malusylv"," eco4",0
"414"," malusylv"," eco6",0
"415"," malusylv"," eco7",0
"416"," malusylv"," eco8",0
"417"," piceabie"," eco1",0
"418"," piceabie"," eco10",0
"419"," piceabie"," eco11",0
"420"," piceabie"," eco12",0
"421"," piceabie"," eco14",0
"422"," piceabie"," eco16",0
"423"," piceabie"," eco17",0
"424"," piceabie"," eco18",0
"425"," piceabie"," eco19",0
"426"," piceabie"," eco2",0
"427"," piceabie"," eco20",0
"428"," piceabie"," eco21",0
"429"," piceabie"," eco22",0
"430"," piceabie"," eco23",0
"431"," piceabie"," eco24",0
"432"," piceabie"," eco25",0
"433"," piceabie"," eco26",0
"434"," piceabie"," eco27",0
"435"," piceabie"," eco28",0
"436"," piceabie"," eco29",0
"437"," piceabie"," eco3",0
"438"," piceabie"," eco30",0
"439"," piceabie"," eco4",0
"440"," piceabie"," eco6",0
"441"," piceabie"," eco7",0
"442"," piceabie"," eco8",0
"443"," picesitc"," eco1",0
"444"," picesitc"," eco10",0
"445"," picesitc"," eco11",0
"446"," picesitc"," eco12",0
"447"," picesitc"," eco14",0
"448"," picesitc"," eco16",0
"449"," picesitc"," eco17",0
"450"," picesitc"," eco18",0
"451"," picesitc"," eco19",0
"452"," picesitc"," eco2",0
"453"," picesitc"," eco20",0
"454"," picesitc"," eco21",0
"455"," picesitc"," eco22",0
"456"," picesitc"," eco23",0
"457"," picesitc"," eco24",0
"458"," picesitc"," eco25",0
"459"," picesitc"," eco26",0
"460"," picesitc"," eco27",0
"461"," picesitc"," eco28",0
"462"," picesitc"," eco29",0
"463"," picesitc"," eco3",0
"464"," picesitc"," eco30",0
"465"," picesitc"," eco4",0
"466"," picesitc"," eco6",0
"467"," picesitc"," eco7",0
"468"," picesitc"," eco8",0
"469"," pinunigr"," eco1",0
"470"," pinunigr"," eco10",0
"471"," pinunigr"," eco11",0
"472"," pinunigr"," eco12",0
"473"," pinunigr"," eco14",0
"474"," pinunigr"," eco16",0
"475"," pinunigr"," eco17",0
"476"," pinunigr"," eco18",0
"477"," pinunigr"," eco19",0
"478"," pinunigr"," eco2",0
"479"," pinunigr"," eco20",0
"480"," pinunigr"," eco21",0
"481"," pinunigr"," eco22",0
"482"," pinunigr"," eco23",0
"483"," pinunigr"," eco24",0
"484"," pinunigr"," eco25",0
"485"," pinunigr"," eco26",0
"486"," pinunigr"," eco27",0
